"","res_site_name","descriptor_type_code","descriptor_type_name","descriptor_value","raw_parent_code","lat_long_ref","elevation_ref","local_x","local_y","position_accuracy","SiteType"
"B201","Bull Creek B201","gs_elev","Elevation","2160","KEW","WGS84","mean sea level","","","",""
"B201","Bull Creek B201","gs_lat","Latitude","36.9781","KEW","WGS84","mean sea level","","","",""
"B201","Bull Creek B201","gs_long","Longitude","119.0792","KEW","WGS84","mean sea level","","","",""
"B203","Bull Creek B203","gs_elev","Elevation","2205","KEW","WGS84","mean sea level","","","",""
"B203","Bull Creek B203","gs_lat","Latitude","36.9759","KEW","WGS84","mean sea level","","","",""
"B203","Bull Creek B203","gs_long","Longitude","119.0733","KEW","WGS84","mean sea level","","","",""
"B204","Bull Creek 204","gs_elev","Elevation","2205","KEW","WGS84","mean sea level","","","",""
"B204","Bull Creek 204","gs_lat","Latitude","36.9748","KEW","WGS84","mean sea level","","","",""
"B204","Bull Creek 204","gs_long","Longitude","119.0731","KEW","WGS84","mean sea level","","","",""
"bullM20","Lower Bull Met Station","ms_elev","Elevation","2210","KEW","WGS84","mean sea level","","","",""
"bullM20","Lower Bull Met Station","ms_lat","Latitude","36.9763","KEW","WGS84","mean sea level","","","",""
"bullM20","Lower Bull Met Station","ms_long","Longitude","119.0736","KEW","WGS84","mean sea level","","","",""
"D102","Duff Creek 102","gs_elev","Elevation","1500","KEW","WGS84","mean sea level","","","",""
"D102","Duff Creek 102","gs_lat","Latitude","37.0377","KEW","WGS84","mean sea level","","","",""
"D102","Duff Creek 102","gs_long","Longitude","119.2029","KEW","WGS84","mean sea level","","","",""
"P301","Providence Creek 301","gs_elev","Elevation","1805","KEW","WGS84","mean sea level","","","",""
"P301","Providence Creek 301","gs_lat","Latitude","37.0595","KEW","WGS84","mean sea level","","","",""
"P301","Providence Creek 301","gs_long","Longitude","119.2036","KEW","WGS84","mean sea level","","","",""
"P303","Providence Creek 303","gs_elev","Elevation","1745","KEW","WGS84","mean sea level","","","",""
"P303","Providence Creek 303","gs_lat","Latitude","37.0540","KEW","WGS84","mean sea level","","","",""
"P303","Providence Creek 303","gs_long","Longitude","119.1963","KEW","WGS84","mean sea level","","","",""
"P304","Providence Creek 304","gs_elev","Elevation","1775","KEW","WGS84","mean sea level","","","",""
"P304","Providence Creek 304","gs_lat","Latitude","37.0507","KEW","WGS84","mean sea level","","","",""
"P304","Providence Creek 304","gs_long","Longitude","119.1953","KEW","WGS84","mean sea level","","","",""
"provM10","Lower Providence Met Station","ms_elev","Elevation","1750","KEW","WGS84","mean sea level","","","",""
"provM10","Lower Providence Met Station","ms_lat","Latitude","37.0564","KEW","WGS84","mean sea level","","","",""
"provM10","Lower Providence Met Station","ms_long","Longitude","119.2021","KEW","WGS84","mean sea level","","","",""
"T003","Teakettle Creek 003 ","gs_elev","Elevation","2055","KEW","WGS84","mean sea level","","","",""
"T003","Teakettle Creek 003 ","gs_lat","Latitude","36.9589","KEW","WGS84","mean sea level","","","",""
"T003","Teakettle Creek 003 ","gs_long","Longitude","119.0266","KEW","WGS84","mean sea level","","","",""
"ubullM25","Upper Bull Met Station","ms_elev","Elevation","2460","KEW","WGS84","mean sea level","","","",""
"ubullM25","Upper Bull Met Station","ms_lat","Latitude","36.9652","KEW","WGS84","mean sea level","","","",""
"ubullM25","Upper Bull Met Station","ms_long","Longitude","119.0556","KEW","WGS84","mean sea level","","","",""
"uprovM15","Upper Providence Met Station","ms_elev","Elevation","1984","KEW","WGS84","mean sea level","","","",""
"uprovM15","Upper Providence Met Station","ms_lat","Latitude","37.0593","KEW","WGS84","mean sea level","","","",""
"uprovM15","Upper Providence Met Station","ms_long","Longitude","119.1823","KEW","WGS84","mean sea level","","","",""
