"","res_site_name","descriptor_type_code","descriptor_type_name","descriptor_value","raw_parent_code","lat_long_ref","elevation_ref","local_x","local_y","position_accuracy","SiteType"
"72K22","Yuin-lin Branch Station","ms_elev","Elevation","35","TAE","WGS84","mean sea level","","","",""
"72K22","Yuin-lin Branch Station","ms_lat","Latitude","23.6344","TAE","WGS84","mean sea level","","","",""
"72K22","Yuin-lin Branch Station","ms_long","Longitude","120.4772","TAE","WGS84","mean sea level","","","",""
"G2L02","Chia-yi Litchi Orchard","ms_elev","Elevation","79","TAE","WGS84","mean sea level","","","",""
"G2L02","Chia-yi Litchi Orchard","ms_lat","Latitude","23.485","TAE","WGS84","mean sea level","","","",""
"G2L02","Chia-yi Litchi Orchard","ms_long","Longitude","120.4739","TAE","WGS84","mean sea level","","","",""
"G2M35","Chi-ko Branch Farm","ms_elev","Elevation","50","TAE","WGS84","mean sea level","","","",""
"G2M35","Chi-ko Branch Farm","ms_lat","Latitude","23.5858","TAE","WGS84","mean sea level","","","",""
"G2M35","Chi-ko Branch Farm","ms_long","Longitude","120.4083","TAE","WGS84","mean sea level","","","",""
