"res_site_code","res_site_name","descriptor_type_code","descriptor_type_name","descriptor_value","raw_parent_code","lat_long_ref","elevation_ref","local_x","local_y","position_accuracy","SiteType"
"GUMPM","Gump Meteorological Station","ms_elev","Elevation","6","MCR","WGS84","mean sea level","","","",""
"GUMPM","Gump Meteorological Station","ms_lat","Latitude","-17.4900","MCR","WGS84","mean sea level","","","",""
"GUMPM","Gump Meteorological Station","ms_long","Longitude","-149.8330","MCR","WGS84","mean sea level","","","",""
