"","res_site_name","descriptor_type_code","descriptor_type_name","descriptor_value","raw_parent_code","lat_long_ref","elevation_ref","local_x","local_y","position_accuracy","SiteType"
"CENMET","Central Meteorological Station","ms_elev","Elevation","1018","AND","WGS84","mean sea level","","","",""
"CENMET","Central Meteorological Station","ms_lat","Latitude","44.24330600","AND","WGS84","mean sea level","","","",""
"CENMET","Central Meteorological Station","ms_long","Longitude","-122.14161100","AND","WGS84","mean sea level","","","",""
"CS2MET","Climatic Station at WS#2                          ","ms_elev","Elevation","485","AND","WGS84","mean sea level","","","",""
"CS2MET","Climatic Station at WS#2                          ","ms_lat","Latitude","44.214875","AND","WGS84","mean sea level","","","",""
"CS2MET","Climatic Station at WS#2                          ","ms_long","Longitude","-122.249053","AND","WGS84","mean sea level","","","",""
"GSLOOK","Lookout Creek Gauging Station (USGS 14161500)","gs_elev","Elevation","","AND","WGS84","mean sea level","","","",""
"GSLOOK","Lookout Creek Gauging Station (USGS 14161500)","gs_lat","Latitude","44.21030869","AND","WGS84","mean sea level","","","",""
"GSLOOK","Lookout Creek Gauging Station (USGS 14161500)","gs_long","Longitude","-122.2559783","AND","WGS84","mean sea level","","","",""
"GSMACK","Mack Creek Gauging Station","gs_elev","Elevation","","AND","WGS84","mean sea level","","","",""
"GSMACK","Mack Creek Gauging Station","gs_lat","Latitude","44.21947948","AND","WGS84","mean sea level","","","",""
"GSMACK","Mack Creek Gauging Station","gs_long","Longitude","-122.1661758","AND","WGS84","mean sea level","","","",""
"GSWS01","GSWS01","gs_elev","Elevation","457","AND","WGS84","mean sea level","","","",""
"GSWS01","GSWS01","gs_lat","Latitude","44.20733954","AND","WGS84","mean sea level","","","",""
"GSWS01","GSWS01","gs_long","Longitude","-122.2569646","AND","WGS84","mean sea level","","","",""
"GSWS02","GSWS02","gs_elev","Elevation","","AND","WGS84","mean sea level","","","",""
"GSWS02","GSWS02","gs_lat","Latitude","44.21216403","AND","WGS84","mean sea level","","","",""
"GSWS02","GSWS02","gs_long","Longitude","-122.2437421","AND","WGS84","mean sea level","","","",""
"GSWS03","GSWS03","gs_elev","Elevation","","AND","WGS84","mean sea level","","","",""
"GSWS03","GSWS03","gs_lat","Latitude","44.21951977","AND","WGS84","mean sea level","","","",""
"GSWS03","GSWS03","gs_long","Longitude","-122.2417193","AND","WGS84","mean sea level","","","",""
"GSWS06","GSWS06","gs_elev","Elevation","","AND","WGS84","mean sea level","","","",""
"GSWS06","GSWS06","gs_lat","Latitude","44.26160362","AND","WGS84","mean sea level","","","",""
"GSWS06","GSWS06","gs_long","Longitude","-122.1796076","AND","WGS84","mean sea level","","","",""
"GSWS07","GSWS07","gs_elev","Elevation","","AND","WGS84","mean sea level","","","",""
"GSWS07","GSWS07","gs_lat","Latitude","44.26477809","AND","WGS84","mean sea level","","","",""
"GSWS07","GSWS07","gs_long","Longitude","-122.174105","AND","WGS84","mean sea level","","","",""
"GSWS08","GSWS08","gs_elev","Elevation","","AND","WGS84","mean sea level","","","",""
"GSWS08","GSWS08","gs_lat","Latitude","44.26618583","AND","WGS84","mean sea level","","","",""
"GSWS08","GSWS08","gs_long","Longitude","-122.169586","AND","WGS84","mean sea level","","","",""
"GSWS09","GSWS09","gs_elev","Elevation","","AND","WGS84","mean sea level","","","",""
"GSWS09","GSWS09","gs_lat","Latitude","44.2013659","AND","WGS84","mean sea level","","","",""
"GSWS09","GSWS09","gs_long","Longitude","-122.2576599","AND","WGS84","mean sea level","","","",""
"GSWS10","GSWS10","gs_elev","Elevation","","AND","WGS84","mean sea level","","","",""
"GSWS10","GSWS10","gs_lat","Latitude","44.21718584","AND","WGS84","mean sea level","","","",""
"GSWS10","GSWS10","gs_long","Longitude","-122.2599328","AND","WGS84","mean sea level","","","",""
"H15MET","Hi-15 Meteorological Station","ms_elev","Elevation","922","AND","WGS84","mean sea level","","","",""
"H15MET","Hi-15 Meteorological Station","ms_lat","Latitude","44.26421700","AND","WGS84","mean sea level","","","",""
"H15MET","Hi-15 Meteorological Station","ms_long","Longitude","-122.17379400","AND","WGS84","mean sea level","","","",""
"PRIMET","Primary Meteorological Station","ms_elev","Elevation","430","AND","WGS84","mean sea level","","","",""
"PRIMET","Primary Meteorological Station","ms_lat","Latitude","44.21184400","AND","WGS84","mean sea level","","","",""
"PRIMET","Primary Meteorological Station","ms_long","Longitude","-122.25588900","AND","WGS84","mean sea level","","","",""
"UPLMET","Upper Lookout Meteorological Station","ms_elev","Elevation","1294","AND","WGS84","mean sea level","","","",""
"UPLMET","Upper Lookout Meteorological Station","ms_lat","Latitude","44.20721100","AND","WGS84","mean sea level","","","",""
"UPLMET","Upper Lookout Meteorological Station","ms_long","Longitude","-122.11939200","AND","WGS84","mean sea level","","","",""
"VANMET","Vanilla Leaf Meteorological Station","ms_elev","Elevation","1273","AND","WGS84","mean sea level","","","",""
"VANMET","Vanilla Leaf Meteorological Station","ms_lat","Latitude","44.27162500","AND","WGS84","mean sea level","","","",""
"VANMET","Vanilla Leaf Meteorological Station","ms_long","Longitude","-122.14949200","AND","WGS84","mean sea level","","","",""
