DBCODE,ENTITY,SITECODE,AIRTEMP_METHOD,HEIGHT,QC_LEVEL,PROBE_CODE,DATE_TIME,AIRTEMP_MEAN,AIRTEMP_MEAN_FLAG,EVENT_CODE
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-22 18:15:00,22.7,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-22 18:30:00,22.7,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-22 18:45:00,21.3,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-22 19:00:00,19.5,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-22 19:15:00,18.4,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-22 19:30:00,18.0,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-22 19:45:00,17.6,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-22 20:00:00,17.1,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-22 20:15:00,16.8,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-22 20:30:00,16.7,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-22 20:45:00,16.6,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-22 21:00:00,16.5,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-22 21:15:00,16.3,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-22 21:30:00,16.1,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-22 21:45:00,15.8,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-22 22:00:00,15.6,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-22 22:15:00,15.5,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-22 22:30:00,15.5,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-22 22:45:00,15.5,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-22 23:00:00,15.4,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-22 23:15:00,15.3,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-22 23:30:00,15.2,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-22 23:45:00,15.0,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 00:00:00,14.7,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 00:15:00,14.6,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 00:30:00,14.5,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 00:45:00,14.4,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 01:00:00,14.2,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 01:15:00,14.0,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 01:30:00,13.8,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 01:45:00,13.3,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 02:00:00,13.1,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 02:15:00,12.7,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 02:30:00,12.6,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 02:45:00,12.5,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 03:00:00,12.5,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 03:15:00,12.6,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 03:30:00,12.4,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 03:45:00,11.8,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 04:00:00,11.7,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 04:15:00,11.9,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 04:30:00,12.1,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 04:45:00,12.2,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 05:00:00,12.2,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 05:15:00,12.1,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 05:30:00,12.0,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 05:45:00,12.0,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 06:00:00,12.0,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 06:15:00,12.0,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 06:30:00,11.8,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 06:45:00,11.6,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 07:00:00,11.6,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 07:15:00,11.7,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 07:30:00,11.6,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 07:45:00,11.3,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 08:00:00,10.9,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 08:15:00,10.6,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 08:30:00,10.4,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 08:45:00,10.3,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 09:00:00,10.2,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 09:15:00,10.3,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 09:30:00,10.4,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 09:45:00,10.5,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 10:00:00,10.7,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 10:15:00,10.8,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 10:30:00,10.8,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 10:45:00,10.9,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 11:00:00,11.2,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 11:15:00,11.8,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 11:30:00,12.0,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 11:45:00,12.1,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 12:00:00,12.3,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 12:15:00,12.4,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 12:30:00,12.2,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 12:45:00,12.3,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 13:00:00,12.3,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 13:15:00,12.9,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 13:30:00,13.6,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 13:45:00,14.2,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 14:00:00,15.0,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 14:15:00,15.9,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 14:30:00,15.6,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 14:45:00,15.8,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 15:00:00,16.1,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 15:15:00,16.2,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 15:30:00,16.4,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 15:45:00,16.3,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 16:00:00,16.9,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 16:15:00,15.7,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 16:30:00,15.2,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 16:45:00,14.5,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 17:00:00,14.6,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 17:15:00,15.3,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 17:30:00,15.4,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 17:45:00,14.8,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 18:00:00,14.2,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 18:15:00,14.0,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 18:30:00,13.9,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 18:45:00,13.0,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 19:00:00,11.9,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 19:15:00,11.3,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 19:30:00,10.9,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 19:45:00,10.5,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 20:00:00,10.0,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 20:15:00,10.0,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 20:30:00,10.0,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 20:45:00,10.2,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 21:00:00,10.2,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 21:15:00,10.2,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 21:30:00,9.9,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 21:45:00,9.6,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 22:00:00,9.3,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 22:15:00,9.1,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 22:30:00,9.0,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 22:45:00,8.9,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 23:00:00,9.0,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 23:15:00,8.8,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 23:30:00,8.5,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-23 23:45:00,8.4,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 00:00:00,8.2,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 00:15:00,8.1,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 00:30:00,8.1,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 00:45:00,8.2,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 01:00:00,8.1,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 01:15:00,8.1,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 01:30:00,8.0,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 01:45:00,7.8,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 02:00:00,7.9,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 02:15:00,7.8,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 02:30:00,7.6,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 02:45:00,7.6,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 03:00:00,7.7,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 03:15:00,7.5,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 03:30:00,7.5,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 03:45:00,7.4,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 04:00:00,7.2,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 04:15:00,7.1,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 04:30:00,6.8,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 04:45:00,6.8,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 05:00:00,6.7,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 05:15:00,6.7,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 05:30:00,6.6,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 05:45:00,6.6,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 06:00:00,6.5,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 06:15:00,6.4,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 06:30:00,6.4,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 06:45:00,6.5,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 07:00:00,6.4,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 07:15:00,6.6,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 07:30:00,6.8,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 07:45:00,6.9,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 08:00:00,7.0,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 08:15:00,7.3,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 08:30:00,7.8,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 08:45:00,9.0,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 09:00:00,11.2,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 09:15:00,12.3,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 09:30:00,13.3,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 09:45:00,13.7,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 10:00:00,14.5,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 10:15:00,15.2,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 10:30:00,15.2,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 10:45:00,16.3,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 11:00:00,16.1,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 11:15:00,17.2,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 11:30:00,17.5,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 11:45:00,17.6,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 12:00:00,18.4,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 12:15:00,18.6,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 12:30:00,18.7,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 12:45:00,19.2,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 13:00:00,18.8,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 13:15:00,19.6,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 13:30:00,20.1,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 13:45:00,20.1,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 14:00:00,20.1,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 14:15:00,20.3,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 14:30:00,20.2,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 14:45:00,20.4,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 15:00:00,20.2,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 15:15:00,20.1,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 15:30:00,20.5,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 15:45:00,20.9,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 16:00:00,20.5,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 16:15:00,20.0,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 16:30:00,20.4,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 16:45:00,19.9,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 17:00:00,19.3,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 17:15:00,19.4,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 17:30:00,19.3,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 17:45:00,18.1,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 18:00:00,16.7,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 18:15:00,15.8,A,"NA"
