"","res_site_name","descriptor_type_code","descriptor_type_name","descriptor_value","raw_parent_code","lat_long_ref","elevation_ref","local_x","local_y","position_accuracy","SiteType"
"C2_STRM","Caribou Watershed 2 stream gauge","gs_elev","Elevation","","BNZ","WGS84","mean sea level","","","",""
"C2_STRM","Caribou Watershed 2 stream gauge","gs_lat","Latitude","","BNZ","WGS84","mean sea level","","","",""
"C2_STRM","Caribou Watershed 2 stream gauge","gs_long","Longitude","","BNZ","WGS84","mean sea level","","","",""
"C3_STRM","Caribou Watershed 3 stream gauge","gs_elev","Elevation","","BNZ","WGS84","mean sea level","","","",""
"C3_STRM","Caribou Watershed 3 stream gauge","gs_lat","Latitude","","BNZ","WGS84","mean sea level","","","",""
"C3_STRM","Caribou Watershed 3 stream gauge","gs_long","Longitude","","BNZ","WGS84","mean sea level","","","",""
"C4_STRM","Caribou Watershed 4 stream gauge","gs_elev","Elevation","","BNZ","WGS84","mean sea level","","","",""
"C4_STRM","Caribou Watershed 4 stream gauge","gs_lat","Latitude","","BNZ","WGS84","mean sea level","","","",""
"C4_STRM","Caribou Watershed 4 stream gauge","gs_long","Longitude","","BNZ","WGS84","mean sea level","","","",""
"FP3A","FP3A","ms_elev","Elevation","","BNZ","WGS84","mean sea level","","","",""
"FP3A","FP3A","ms_lat","Latitude","64.72333333","BNZ","WGS84","mean sea level","","","",""
"FP3A","FP3A","ms_long","Longitude","-148.14944444","BNZ","WGS84","mean sea level","","","",""
"FP4A","FP4A","ms_elev","Elevation","","BNZ","WGS84","mean sea level","","","",""
"FP4A","FP4A","ms_lat","Latitude","64.67972222","BNZ","WGS84","mean sea level","","","",""
"FP4A","FP4A","ms_long","Longitude","-148.23472222","BNZ","WGS84","mean sea level","","","",""
"FP5A","FP5A","ms_elev","Elevation","","BNZ","WGS84","mean sea level","","","",""
"FP5A","FP5A","ms_lat","Latitude","64.68333333","BNZ","WGS84","mean sea level","","","",""
"FP5A","FP5A","ms_long","Longitude","-148.26666666","BNZ","WGS84","mean sea level","","","",""
"LTER1","LTER1","ms_elev","Elevation","","BNZ","WGS84","mean sea level","","","",""
"LTER1","LTER1","ms_lat","Latitude","64.74167","BNZ","WGS84","mean sea level","","","",""
"LTER1","LTER1","ms_long","Longitude","-148.31389","BNZ","WGS84","mean sea level","","","",""
"LTER2","LTER2","ms_elev","Elevation","","BNZ","WGS84","mean sea level","","","",""
"LTER2","LTER2","ms_lat","Latitude","64.69916666","BNZ","WGS84","mean sea level","","","",""
"LTER2","LTER2","ms_long","Longitude","-148.25083333","BNZ","WGS84","mean sea level","","","",""
