VariableCode,VariableName,VariableUnitsName,DataType,SampleMedium,ValueType,IsRegular,TimeSupport,TimeUnitsName,GeneralCategory,NoDataValue
Daily_AirTemp_Mean_C,Temperature,degree celsius,Average,Air,Derived Value,TRUE,1,day,Climate,-9999
Daily_AirTemp_AbsMax_C,Temperature,degree celsius,Maximum,Air,Field Observation,TRUE,1,day,Climate,-9999
Daily_AirTemp_AbsMin_C,Temperature,degree celsius,Minimum,Air,Field Observation,TRUE,1,day,Climate,-9999
Daily_Precip_Total_mm,Precipitation,millimeter,Cumulative,Air,Field Observation,TRUE,1,day,Hydrology,-9999
