DataValue,LocalDateTime,UTCOffset,DateTimeUTC,SiteCode,VariableCode,MethodCode,SourceCode,QualityControlLevelCode,QualifierCode
7.3,1994-09-14T03:30:00Z,-8,1994-09-14T11:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
7.3,1994-09-14T03:45:00Z,-8,1994-09-14T11:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
7.2,1994-09-14T04:00:00Z,-8,1994-09-14T12:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
7.1,1994-09-14T04:15:00Z,-8,1994-09-14T12:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
7,1994-09-14T04:30:00Z,-8,1994-09-14T12:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
7,1994-09-14T04:45:00Z,-8,1994-09-14T12:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
6.8,1994-09-14T05:00:00Z,-8,1994-09-14T13:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
6.6,1994-09-14T05:15:00Z,-8,1994-09-14T13:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
6.5,1994-09-14T05:30:00Z,-8,1994-09-14T13:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
6.4,1994-09-14T05:45:00Z,-8,1994-09-14T13:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
6.2,1994-09-14T06:00:00Z,-8,1994-09-14T14:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
6.1,1994-09-14T06:15:00Z,-8,1994-09-14T14:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
6.1,1994-09-14T06:30:00Z,-8,1994-09-14T14:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
6.2,1994-09-14T06:45:00Z,-8,1994-09-14T14:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
6.2,1994-09-14T07:00:00Z,-8,1994-09-14T15:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
6.3,1994-09-14T07:15:00Z,-8,1994-09-14T15:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
6.5,1994-09-14T07:30:00Z,-8,1994-09-14T15:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
6.6,1994-09-14T07:45:00Z,-8,1994-09-14T15:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
6.7,1994-09-14T08:00:00Z,-8,1994-09-14T16:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
7,1994-09-14T08:15:00Z,-8,1994-09-14T16:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
7.8,1994-09-14T08:30:00Z,-8,1994-09-14T16:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
9.8,1994-09-14T08:45:00Z,-8,1994-09-14T16:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
10.3,1994-09-14T09:00:00Z,-8,1994-09-14T17:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
