"res_site_code","res_site_name","descriptor_type_code","descriptor_type_name","descriptor_value","raw_parent_code","lat_long_ref","elevation_ref","local_x","local_y","position_accuracy","SiteType"
"11        ","Meteorological Station 11                         ","ms_elev","Elevation","1652 m","SGS","WGS84","mean sea level","","","",""
"11        ","Meteorological Station 11                         ","ms_lat","Latitude","40 80.553","SGS","WGS84","mean sea level","","","",""
"11        ","Meteorological Station 11                         ","ms_long","Longitude","104 75.470","SGS","WGS84","mean sea level","","","",""
"12","Meteorological Station 12","ms_elev","Elevation","","SGS","WGS84","mean sea level","","","",""
"12","Meteorological Station 12","ms_lat","Latitude","","SGS","WGS84","mean sea level","","","",""
"12","Meteorological Station 12","ms_long","Longitude","","SGS","WGS84","mean sea level","","","",""
