"","res_site_name","descriptor_type_code","descriptor_type_name","descriptor_value","raw_parent_code","lat_long_ref","elevation_ref","local_x","local_y","position_accuracy","SiteType"
"WS2P","Watershed 2 Precipitation","ms_lat","Latitude","","HBR","WGS84","mean sea level","","","",""
"WS2P","Watershed 2 Precipitation","ms_long","Longitude","","HBR","WGS84","mean sea level","","","",""
"WS3P","Watershed 3 Precipitation","ms_elev","Elevation","","HBR","WGS84","mean sea level","","","",""
"WS3P","Watershed 3 Precipitation","ms_lat","Latitude","","HBR","WGS84","mean sea level","","","",""
"WS3P","Watershed 3 Precipitation","ms_long","Longitude","","HBR","WGS84","mean sea level","","","",""
"WS4P","Watershed 4 Precipitation","ms_elev","Elevation","","HBR","WGS84","mean sea level","","","",""
"WS4P","Watershed 4 Precipitation","ms_lat","Latitude","","HBR","WGS84","mean sea level","","","",""
"WS4P","Watershed 4 Precipitation","ms_long","Longitude","","HBR","WGS84","mean sea level","","","",""
"WS5P","Watershed 5 Precipitation","ms_elev","Elevation","","HBR","WGS84","mean sea level","","","",""
"WS5P","Watershed 5 Precipitation","ms_lat","Latitude","","HBR","WGS84","mean sea level","","","",""
"WS5P","Watershed 5 Precipitation","ms_long","Longitude","","HBR","WGS84","mean sea level","","","",""
"WS6P","Watershed 6 Precipitation","ms_elev","Elevation","","HBR","WGS84","mean sea level","","","",""
"WS6P","Watershed 6 Precipitation","ms_lat","Latitude","","HBR","WGS84","mean sea level","","","",""
"WS6P","Watershed 6 Precipitation","ms_long","Longitude","","HBR","WGS84","mean sea level","","","",""
"WS7P","Watershed 7 Precipitation","ms_elev","Elevation","","HBR","WGS84","mean sea level","","","",""
"WS7P","Watershed 7 Precipitation","ms_lat","Latitude","","HBR","WGS84","mean sea level","","","",""
"WS7P","Watershed 7 Precipitation","ms_long","Longitude","","HBR","WGS84","mean sea level","","","",""
"WS8P","Watershed 8 Precipitation","ms_elev","Elevation","","HBR","WGS84","mean sea level","","","",""
"WS8P","Watershed 8 Precipitation","ms_lat","Latitude","","HBR","WGS84","mean sea level","","","",""
"WS8P","Watershed 8 Precipitation","ms_long","Longitude","","HBR","WGS84","mean sea level","","","",""
"WS9P","Watershed 9 Precipitation","ms_elev","Elevation","","HBR","WGS84","mean sea level","","","",""
"WS9P","Watershed 9 Precipitation","ms_lat","Latitude","","HBR","WGS84","mean sea level","","","",""
"WS9P","Watershed 9 Precipitation","ms_long","Longitude","","HBR","WGS84","mean sea level","","","",""
