"DataValue","LocalDateTime","UTCOffset","DateTimeUTC","SiteCode","VariableCode","MethodCode","SourceCode","QualityControlLevelCode"
"0.00","1997-07-11T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-12T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-13T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-14T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-15T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-16T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-17T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-18T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-19T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-20T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-21T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.25","1997-07-22T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-23T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-24T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-25T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-26T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-27T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-28T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-29T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-30T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-31T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-08-01T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-08-02T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-08-03T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-08-04T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-08-05T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-08-06T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-08-07T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-08-08T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
