"res_site_code","res_site_name","descriptor_type_code","descriptor_type_name","descriptor_value","raw_parent_code","lat_long_ref","elevation_ref","local_x","local_y","position_accuracy","SiteType"
"ARF","ARF Temperature Station","ms_elev","Elevation","88","CAS","WGS84","mean sea level","","","",""
"ARF","ARF Temperature Station","ms_lat","Latitude","39.36233","CAS","WGS84","mean sea level","","","",""
"ARF","ARF Temperature Station","ms_long","Longitude","-123.73409","CAS","WGS84","mean sea level","","","",""
"NFC","North Fork Caspar Creek","gs_elev","Elevation","85","CAS","WGS84","mean sea level","","","",""
"NFC","North Fork Caspar Creek","gs_lat","Latitude","39.36142","CAS","WGS84","mean sea level","","","",""
"NFC","North Fork Caspar Creek","gs_long","Longitude","-123.73443","CAS","WGS84","mean sea level","","","",""
"NFC408","North Fork Caspar Creek 408 Precipitation Station","ms_elev","Elevation","274","CAS","WGS84","mean sea level","","","",""
"NFC408","North Fork Caspar Creek 408 Precipitation Station","ms_lat","Latitude","39.37103","CAS","WGS84","mean sea level","","","",""
"NFC408","North Fork Caspar Creek 408 Precipitation Station","ms_long","Longitude","-123.70193","CAS","WGS84","mean sea level","","","",""
"NFC620","North Fork Caspar Creek 620 Precipitation Station","ms_elev","Elevation","91","CAS","WGS84","mean sea level","","","",""
"NFC620","North Fork Caspar Creek 620 Precipitation Station","ms_lat","Latitude","39.36200","CAS","WGS84","mean sea level","","","",""
"NFC620","North Fork Caspar Creek 620 Precipitation Station","ms_long","Longitude","-123.73500","CAS","WGS84","mean sea level","","","",""
"SFC","South Fork Caspar Creek","gs_elev","Elevation","46","CAS","WGS84","mean sea level","","","",""
"SFC","South Fork Caspar Creek","gs_lat","Latitude","39.34139","CAS","WGS84","mean sea level","","","",""
"SFC","South Fork Caspar Creek","gs_long","Longitude","-123.75250","CAS","WGS84","mean sea level","","","",""
"SFC620","South Fork Caspar Creek 620 Precipitation Station","ms_elev","Elevation","67","CAS","WGS84","mean sea level","","","",""
"SFC620","South Fork Caspar Creek 620 Precipitation Station","ms_lat","Latitude","39.34700","CAS","WGS84","mean sea level","","","",""
"SFC620","South Fork Caspar Creek 620 Precipitation Station","ms_long","Longitude","-123.75300","CAS","WGS84","mean sea level","","","",""
