MethodCode,MethodDescription,MethodLink
atm_pressure_sensor,ATM,not available
dew_point_sensor,DEW,not available
discharge_sensor,DSCH,not available
global_rad_sensor,GRAD,not available
precipitation_sensor,PREC,notavailable
rel_humidity_sensor,RH,not available
soil_moisture_sensor,SM,not available
soil_temp_sensor,SMAX,not available
soil_temp_sensor,SMEA,not available
soil_temp_sensor,SMIN,not available
snow_depth_obs,SNOW,not available
air_temp_sensor,TMAX,not available
air_temp_sensor,TMEA,not available
air_temp_sensor,TMIN,not available
vap_pressure_sensor,VAP,not available
wind_dir_sensor,WDIR,not available
water_temp_sensor,WMAX,not available
water_temp_sensor,WMEA,not available
water_temp_sensor,WMIN,not available
wind_speed_sensor,WSP,not available
